400,8,0six,1five,2four,3three,4four,5one
0.211126114,0.003201441,3.02E-05,0.000198643,-1.12E-09,6.36E-06,1.53E-08,1
0.210703279,0.003246607,3.09E-05,0.000193733,-1.78E-09,6.29E-06,1.49E-08,1
0.209547496,0.003391388,2.54E-05,0.000172478,-2.99E-09,5.77E-06,1.10E-08,1
0.211218608,0.003466979,3.13E-05,0.00019832,-3.66E-09,7.46E-06,1.52E-08,1
0.212311756,0.003442477,3.41E-05,0.000202286,-4.65E-09,7.44E-06,1.62E-08,1
0.214539675,0.003387971,3.52E-05,0.000223471,-5.60E-09,8.07E-06,1.90E-08,1
0.215638267,0.003327415,3.69E-05,0.000236676,-8.33E-09,9.02E-06,2.05E-08,1
0.216484935,0.003414689,4.64E-05,0.000242002,-1.34E-08,1.01E-05,2.19E-08,1
0.217005816,0.003517711,5.81E-05,0.000243136,-1.61E-08,1.09E-05,2.40E-08,1
0.217070507,0.003560952,6.13E-05,0.000238824,-1.73E-08,1.11E-05,2.31E-08,1
0.217479823,0.003652385,7.60E-05,0.000236497,-1.96E-08,1.18E-05,2.50E-08,1
0.217775236,0.00381771,9.60E-05,0.000231655,-2.22E-08,1.23E-05,2.65E-08,1
0.217855338,0.003996285,0.0001143,0.000225858,-2.25E-08,1.27E-05,2.85E-08,1
0.217618446,0.004099819,0.00012994,0.000217386,-2.35E-08,1.27E-05,2.80E-08,1
0.216576956,0.003903888,0.00013358,0.000207094,-2.12E-08,1.15E-05,2.72E-08,1
0.215186293,0.003644794,0.000120262,0.000187785,-1.86E-08,9.52E-06,2.12E-08,1
0.216943845,0.003585617,9.70E-05,0.000224912,-1.90E-08,1.10E-05,2.72E-08,1
0.217169183,0.00354652,8.94E-05,0.000232315,-1.91E-08,1.12E-05,2.75E-08,1
0.216103869,0.003459361,8.51E-05,0.000220317,-1.60E-08,1.01E-05,2.56E-08,1
0.215739365,0.003238008,7.54E-05,0.000224234,-1.46E-08,8.89E-06,2.52E-08,1
0.215889842,0.003227682,8.28E-05,0.000229596,-1.51E-08,8.70E-06,2.78E-08,1
0.216078399,0.003227003,9.08E-05,0.000232556,-1.54E-08,8.45E-06,3.01E-08,1
0.215520728,0.003072179,8.81E-05,0.000225324,-1.44E-08,7.07E-06,2.83E-08,1
0.215717298,0.003143198,9.72E-05,0.0002308,-1.56E-08,7.20E-06,3.09E-08,1
0.214896759,0.003372197,0.000138823,0.000220173,-1.85E-08,7.79E-06,3.37E-08,1
0.214863545,0.003663513,0.000152846,0.000206688,-1.84E-08,8.74E-06,3.18E-08,1
0.216262227,0.003873432,0.000161982,0.000216326,-2.00E-08,1.02E-05,3.52E-08,1
0.217249067,0.003974832,0.000196784,0.000214955,-2.43E-08,1.08E-05,3.69E-08,1
0.218098067,0.00397663,0.000214254,0.000217997,-2.77E-08,1.14E-05,3.81E-08,1
0.21863035,0.004124198,0.000244421,0.000214076,-2.93E-08,1.19E-05,3.92E-08,1
0.218962799,0.004470652,0.000292188,0.000197545,-2.70E-08,1.21E-05,3.90E-08,1
0.219708236,0.00496355,0.000339219,0.000184344,-2.36E-08,1.23E-05,3.96E-08,1
0.220670769,0.005207983,0.000394057,0.000183097,-2.44E-08,1.27E-05,4.27E-08,1
0.221315438,0.005271716,0.000451116,0.000177128,-2.41E-08,1.25E-05,4.39E-08,1
0.222254668,0.00549682,0.000489564,0.000175165,-2.35E-08,1.28E-05,4.56E-08,1
0.222898594,0.005800424,0.000519049,0.000165293,-2.08E-08,1.25E-05,4.37E-08,1
0.223093409,0.005913805,0.00051789,0.000162501,-2.02E-08,1.24E-05,4.26E-08,1
0.223534041,0.00601278,0.000547793,0.00016057,-1.92E-08,1.24E-05,4.36E-08,1
0.223723255,0.006086792,0.000574805,0.000158107,-1.84E-08,1.23E-05,4.40E-08,1
0.223952063,0.006198882,0.000579341,0.000154843,-1.75E-08,1.22E-05,4.30E-08,1
0.223776096,0.006558133,0.000575017,0.000143329,-1.52E-08,1.16E-05,3.82E-08,1
0.223077381,0.006928613,0.000559386,0.000131844,-1.29E-08,1.10E-05,3.34E-08,1
0.223459118,0.007095328,0.000580247,0.000126645,-1.17E-08,1.07E-05,3.23E-08,1
0.223737763,0.007150793,0.000611595,0.000121615,-1.02E-08,1.03E-05,3.16E-08,1
0.224066854,0.007065288,0.000630525,0.0001254,-9.97E-09,1.05E-05,3.38E-08,1
0.223931754,0.006948579,0.000640043,0.000125877,-9.82E-09,1.05E-05,3.44E-08,1
0.224374636,0.006983569,0.000640872,0.000130255,-9.25E-09,1.08E-05,3.65E-08,1
0.224612866,0.007058659,0.000656779,0.000129397,-8.24E-09,1.08E-05,3.68E-08,1
0.224563819,0.007097175,0.000648952,0.000129159,-7.98E-09,1.08E-05,3.65E-08,1
0.224344729,0.007066506,0.000625152,0.000132035,-8.77E-09,1.10E-05,3.69E-08,1
0.223868201,0.007061041,0.000589138,0.000131552,-8.76E-09,1.10E-05,3.56E-08,1
